patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
DCAF4	6.348826963	7.26906363	6.43267684	6.526181182	7.411814466	6.760161229	7.631059076	7.221610198	6.977226158	7.14687604	6.92191222	6.678720448	6.764432133
HRCT1	5.66527733	5.572620526	5.478276861	5.480619625	5.361551578	5.569883746	8.89623489	5.673073081	5.326526802	5.465954308	5.664648689	5.70096193	5.245605665
ABTB2	5.942599899	5.966508738	5.430469601	6.106804523	5.469013698	5.920268534	6.802487281	5.698623918	6.707874036	6.292980655	5.86030762	5.501364656	5.394897735
KRT74	5.429695644	5.246798687	5.224447557	5.431305978	5.058093314	5.262160468	5.219048559	5.359608141	5.136903255	5.243448667	5.211646776	5.345856909	5.132963596
ZFHX4	5.623619123	5.951517792	5.988327595	5.631487594	5.992789994	5.731430577	5.203624583	6.436691659	5.553476822	5.861940783	5.931191816	6.407698644	5.524301328
GTPBP8	7.277162853	7.245993538	7.272897967	6.669460377	7.197152554	7.294403515	7.310013331	7.481500885	7.131731329	6.849613092	6.18972754	6.938786762	6.528964129
RBBP5	7.300925606	6.964963268	6.663301379	7.597930457	6.633258744	6.947808749	7.328870311	6.662398521	7.280481956	7.575199406	6.205257715	6.675191481	7.487321488
CN430221	5.241101492	5.396098894	5.716163866	5.39937742	5.363414704	5.468384215	5.529950256	5.394248826	5.31712841	5.770860456	5.387985054	5.380848997	5.45756626
AI364781	5.187772805	5.235458515	5.371171804	5.185010517	5.261148092	5.295775005	5.229496921	5.57601631	5.336228317	5.304755205	5.640555632	5.154724039	5.312381111
CA388993	5.290404459	5.479532746	5.455644885	5.153800887	5.214003915	5.320400435	5.302898429	5.372187987	5.423730071	5.229109012	5.468487859	5.441175881	5.407471184
CDH8	5.293297955	5.175635916	5.134301007	5.282199385	5.399004573	5.102071032	5.321968062	5.249967877	5.344610503	5.239690244	5.51648721	5.265312824	5.200925309
CD694307	5.350887368	5.274167254	5.535163899	5.304717906	5.32847643	5.434814132	5.306506063	5.402378672	5.434630107	5.343067092	5.633686845	5.401835675	5.192485153
SETD1B	6.837634663	6.465123863	6.769211318	6.743325333	6.645979748	6.501872543	6.440863513	6.21700071	6.53832475	6.600426129	7.16951862	6.454911277	6.846166027
NOD2	6.536738568	6.691588595	6.830957257	6.002042129	6.707604042	6.723469195	6.922215378	5.665588538	6.445585167	6.427259963	5.431625486	6.487899527	6.590797789
LSM11	5.501064888	6.178040863	5.471249125	5.484222487	5.41051261	5.575624991	5.318495645	5.370033539	5.69747136	5.779986493	6.702810362	5.48792451	5.86374265
C1orf112	7.554109888	6.732286194	6.529650348	7.323828476	8.201805692	6.778903063	6.765832725	6.50766677	7.543159975	6.801124381	7.276499962	6.54336724	7.385644224
NKX2-1	5.174400571	5.023907813	5.419731331	5.201897642	5.398605038	5.368944938	5.175160037	5.302689211	5.248137369	5.364917201	5.451908052	5.429477007	5.023717812
SIX2	5.728237549	5.192816791	5.333316295	5.081309723	5.393075472	5.890925029	5.441928326	5.360818282	5.267495296	5.507735206	5.555034247	5.531901325	5.052948355
CR744964	5.326607999	5.403975646	5.816249082	5.671531393	5.411300987	5.468409419	5.267395345	5.371882523	5.273605676	5.586844591	5.365071141	5.65200998	5.399796194
CTNNBL1	8.104015974	8.129033322	8.213280898	8.106312513	8.063634079	7.585934116	8.265744284	8.436263077	7.794693829	8.363610367	7.723388708	8.305610465	8.381683808
ERP44	5.628765793	6.179611497	5.730200658	5.851899603	5.715398692	5.973524482	5.408962108	5.812434009	5.922893691	6.07188293	6.144591362	5.717791217	5.804677809
MIDN	9.071409085	9.395001669	8.809986514	9.435068893	8.278552417	8.846890349	8.036599987	8.435149056	8.535213824	10.34250062	9.735075834	8.31259958	9.85808946
BM968372	5.371491548	5.624032983	5.584110774	5.448735282	5.180714328	5.134193431	5.394031045	5.376232411	5.334710616	5.679475805	5.370871475	5.283549927	5.321983656
C17orf90	11.56144674	10.37269367	9.435933761	9.852994273	10.13483407	10.09852081	9.868356024	9.601925635	9.261135772	9.67795164	10.14380698	9.292706553	9.656502345
ZNF536	5.145176124	5.277900429	5.176009385	5.493221343	5.262198802	5.460638891	5.103639271	5.308982802	5.087361619	5.261166372	5.419127672	5.273054094	5.335844401
SNX16	7.266167745	6.647674331	6.859584748	7.285422849	7.291781281	7.20023472	7.247056425	7.62916205	7.001604922	6.964530632	7.262611579	6.785671075	7.033485905
KLK13	5.091579628	5.063063183	5.254220152	4.969683222	5.256690396	5.365624488	5.082709119	5.351380306	5.055799112	5.288861151	5.428707122	5.281153656	7.926861044
ZCCHC9	8.530735455	8.364026349	8.380913821	8.529419554	9.018892161	8.698179711	8.48790604	9.059853278	8.459789849	7.82153963	7.728588617	8.578379503	8.282284968
AI478591	5.307875014	5.468533854	5.553584764	5.36840012	5.355612541	5.366006597	5.055052257	5.551286172	5.185918152	5.092131052	5.29711966	5.326298155	5.268279336
IL15RA	5.74428833	5.892858677	6.569239885	5.637863181	5.86337724	5.721465076	6.275718807	5.757649509	5.951741586	6.376459233	5.276620551	5.912161928	5.609671471
BQ002442	5.468450525	5.389995374	5.487025791	5.531752171	5.513768477	5.642538148	5.538925332	5.350243671	5.502334883	5.409130252	5.360754138	5.507453521	5.70624877
CDC42BPG	5.558607311	5.33577278	5.454848886	5.368851719	5.527835259	5.633684222	5.514986776	5.487824206	5.515064091	5.311142475	5.143831093	5.396538784	5.65960422
LOC255411	5.571416294	5.45261287	5.410135377	5.325515679	5.404472688	5.367604493	5.339012206	5.334101207	5.530654266	5.291824965	5.481979994	5.381494754	5.410940792
SLC41A3	7.522457488	8.087667005	8.795645578	8.266041647	8.386085232	8.742482685	8.705490557	8.337439404	7.96564236	8.606309259	9.005537002	7.926861044	8.261616185
TXNL1	5.817833742	5.969210635	5.830006414	7.405255573	6.155764139	6.135295156	6.33588383	7.060466335	6.990013054	5.188424538	5.488257976	6.924673928	5.713612233
CD675629	5.343550501	5.390134541	5.566036153	5.381023824	5.535384936	5.539969847	5.471487998	5.537391667	5.478508143	5.173506687	5.826410754	5.326441103	5.444779422
EIF3M	7.05061025	7.507550819	7.643329719	9.029651032	8.848607553	8.875011607	8.669119397	9.716563883	8.780828523	7.008466874	7.129511718	8.95793268	7.681054371
C14orf176	5.84383605	5.446125553	5.505636846	5.573307109	5.698291487	5.597969843	5.212402838	5.617747364	5.516599399	5.909754888	6.084487928	5.546431518	5.712028403
SNX32	5.516939606	5.248704739	5.375899879	5.506575256	5.721407887	5.578476761	5.565978457	5.697390685	5.668052576	5.329169912	5.57619354	5.892824252	5.364413287
ISLR	7.19862861	8.789891934	9.14494512	8.425656914	8.81435625	8.103890984	7.824074058	9.330583868	8.597471104	9.040825482	7.85515405	9.812163447	8.241262109
